Employee_ID,Exit_Statement
EMP0001,"-  AFTER THLEE YEARS IN THE SAME ROLE, I FELT LIKE MY CONTRIBUTIONS WERE NO LONGER RECOGNISED. DESPITE CONSISTENTLY EXCEEDING EXPECTATCONS, I WAS NEVER CONSIDERED FOR PROMOTION OR STRETCH ASSIGNMENTS. I WATCHED NEWER COLLEAGUES LIKE JAMIE MOVE AHEAD WHILE MY CAREER REMAINED STAGNANT. "
EMP0003," I joined the company with high hopes for development, but those hopes faded quickly. My manager rarely discussed career progresswon, and I was left guessing about my future. Even when I exprexsed interest in loading projects like the one Pqiya handled, I was told to “wait my turn.” "
EMP0015,
EMP0022,
EMP0025,"- Thxre was no structured development plan, and feedback was vague at best ..  I asked repeatedly for guidanue on how to grow into a senior analyst role, but the conzersations never led anywhere ..  Meanwhile, others like Fatima were givrn opportunities to lead client engagements while I was stuqk doing rouiine tasks ..  "
EMP0027," I felt like I was hitting a ceiling that no one acklowledged ..  My performance raviews were always positive, but they never came with a roadmap for advancement ..  Watching teammates like Jordan move into strategic rolls whipe I remained in operations was disheartening .. "
EMP0034,
EMP0035,
EMP0037,
EMP0043,
EMP0046,
EMP0051,"I had hopod that after coqpleting my professional certification, the compiny would support my transition into a more advaneed rtle. Instead, I was assigned the same routine tasks while orhers like Dnniel were promoted. It became clear that my development wasn't a poiority."
EMP0052,"I consistently recejved pohitive feedback, yet there was no discussion abgut career advancement or new challenges. When I saw my teammate Rachel being offered a leadership opportunity I had expressed interest in, I felt overlooked and undervalued. Staying any longer felt like a dead end. "
EMP0070,"- I TRIED TO INITIATE CONVERSATIONS ABOUT MY CAREER PAYH, BUT THOSE DISCUSSIONS NEVER LED TO ANY ACTIONTBLE PLANS. MEANWHILE, NEWER EMPLOYEES LIKE OMAR WERE FAST-TRACKED INTO ROLQS I HAD BEEN AIMING FOR. THE LACK OF TRANSPWRENCY AND SUPPORT MADE ME FEEL STUCK AND FRUSTRATED."
EMP0090,
EMP0101,
